what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1615383891765
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1615383891768
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1615383891771
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1615383891774
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1615383891777
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1615383891779
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1615383891786
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1615383891789
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1615383891791
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1615383891794
os,sysinfo,,,"win32",1615383891800
arch,sysinfo,,,"x86_64",1615383891800
ws,sysinfo,,,"win32",1615383891800
locale,sysinfo,,,"zh_CN",1615383891800
processors,sysinfo,,,"4",1615383891800
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1615383891800
java.runtime.version,sysinfo,,,"1.8.0_241-b07",1615383891800
java.specification.name,sysinfo,,,"Java Platform API Specification",1615383891800
java.specification.vendor,sysinfo,,,"Oracle Corporation",1615383891800
java.specification.version,sysinfo,,,"1.8",1615383891800
java.vendor,sysinfo,,,"Oracle Corporation",1615383891800
java.version,sysinfo,,,"1.8.0_241",1615383891800
java.vm.info,sysinfo,,,"mixed mode",1615383891800
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1615383891800
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1615383891800
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1615383891800
java.vm.specification.version,sysinfo,,,"1.8",1615383891800
java.vm.vendor,sysinfo,,,"Oracle Corporation",1615383891800
java.vm.version,sysinfo,,,"25.241-b07",1615383891800
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1615383891959
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1615383892010
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1615383892035
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1615383892091
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1615383892107
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1615383892196
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1615383892205
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1615383892211
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1615383892341
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1615383892345
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1615383920556
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1615383920658
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1615383920769
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1615384007475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1615384021599
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1615384022536
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1615384177904
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1615384179375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1615384180338
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1615384180597
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1615384181174
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1615384181402
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1615384181405
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1615384181413
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1615384181420
